;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-1605 ;Airbus A321-231; C4Y185 ; 1 Dec 2014 ;; 7.3 Years ;;;
; B-1606 ;Airbus A321-231; C4Y185 ; 8 Dec 2014 ;; 7.3 Years ;;;
; B-1616 ;Airbus A321-231; C4Y185 ; 22 Jan 2015 ;; 7.1 Years ;;;
; B-1625 ;Airbus A321-231; C4Y185 ; 9 Feb 2015 ; Parked ; 7.1 Years ;;;
; B-1626 ;Airbus A321-231; C4Y185 ; 16 Mar 2015 ;; 7 Years ;;;
; B-1650 ;Airbus A321-231; C4Y185 ; 13 Apr 2015 ;; 6.9 Years ;;;
; B-1806 ;Airbus A321-231(WL); C12Y167 ; 27 Jan 2014 ;lsd ; 8.1 Years ;;;
; B-1830 ;Airbus A321-231; C4Y185 ; 16 Apr 2014 ;lsd ; 7.9 Years ;;;
; B-1831 ;Airbus A321-231; C4Y185 ; 21 May 2014 ;lsd ; 7.9 Years ;;;
; B-1832 ;Airbus A321-231; C4Y185 ; 25 Jun 2014 ;lsd ; 7.7 Years ;;;
; B-1843 ;Airbus A321-231(WL); C12Y167 ; 11 Jul 2014 ;lsd ; 7.7 Years ;;;
; B-1845 ;Airbus A321-231; C4Y185 ; 31 Jul 2014 ;lsd ; 7.6 Years ;;;
; B-1846 ;Airbus A321-231; C4Y185 ; 30 Jul 2014 ;; 7.6 Years ;;;
; B-1847 ;Airbus A321-231; C4Y185 ; 19 Aug 2014 ;; 7.6 Years ;;;
; B-1848 ;Airbus A321-231; C4Y185 ; 29 Aug 2014 ;lsd ; 7.5 Years ;;;
; B-1880 ;Airbus A321-231; C4Y185 ; 5 Sep 2014 ;; 7.5 Years ;;;
; B-2280 ;Airbus A321-231; C12Y167 ; Nov 2004 ; Parked ; 20.4 Years ;;;
; B-2281 ;Airbus A321-231; C12Y167 ; Nov 2004 ;; 20.3 Years ;;;
; B-2282 ;Airbus A321-231; C12Y167 ; Nov 2004 ;; 19.7 Years ;;;
; B-2283 ;Airbus A321-231; C4Y185 ; Nov 2004 ;; 19.6 Years ;;;
; B-2284 ;Airbus A321-231; C4Y185 ; May 2003 ;; 18.9 Years ;;;
; B-2285 ;Airbus A321-231; C4Y185 ; Jun 2003 ;; 18.8 Years ;;;
; B-2287 ;Airbus A321-231; C4Y185 ; 6 Jan 2004 ;; 18.3 Years ;;;
; B-2288 ;Airbus A321-231; C4Y185 ; 5 Jan 2004 ;; 18.3 Years ;;;
; B-2417 ;Airbus A321-231; C4Y185 ; 28 Jul 2005 ;; 16.6 Years ;;;
; B-2418 ;Airbus A321-231; C4Y185 ; 29 Jul 2005 ;; 16.6 Years ;;;
; B-6265 ;Airbus A321-231; C12Y167 ; 13 Apr 2006 ;lsd ; 16 Years ;;;
; B-6267 ;Airbus A321-231; C12Y167 ; 26 Apr 2006 ;lsd ; 15.9 Years ;;;
; B-6270 ;Airbus A321-231; C12Y167 ; 29 May 2006 ;lsd ; 15.8 Years ;;;
; B-6271 ;Airbus A321-231; C12Y167 ; 22 Jun 2006 ; Parked, lsd ; 15.7 Years ;;;
; B-6273 ;Airbus A321-231; C12Y167 ; 4 Jul 2006 ;lsd ; 15.7 Years ;;;
; B-6302 ;Airbus A321-231; C12Y167 ; 28 Nov 2006 ;lsd ; 15.3 Years ;;;
; B-6305 ;Airbus A321-231; C12Y167 ; 21 Dec 2006 ;lsd ; 15.3 Years ;;;
; B-6306 ;Airbus A321-231; C12Y167 ; 16 Mar 2007 ;lsd ; 15 Years ;;;
; B-6307 ;Airbus A321-231; C12Y167 ; 3 Apr 2007 ;lsd ; 14.9 Years ;;;
; B-6308 ;Airbus A321-231; C12Y167 ; 14 May 2007 ;lsd ; 14.8 Years ;;;
; B-6317 ;Airbus A321-231; C12Y167 ; 10 Aug 2007 ;lsd ; 14.6 Years ;;;
; B-6318 ;Airbus A321-231; C12Y167 ; 19 Sep 2007 ;lsd ; 14.5 Years ;;;
; B-6319 ;Airbus A321-231; C12Y167 ; 4 Sep 2007 ;lsd ; 14.5 Years ;;;
; B-6339 ;Airbus A321-231; C12Y167 ; 10 May 2008 ;lsd ; 13.9 Years ;;;
; B-6342 ;Airbus A321-231; C12Y167 ; 10 Apr 2008 ;lsd ; 13.9 Years ;;;
; B-6343 ;Airbus A321-231; C12Y167 ; 24 Apr 2008 ;lsd ; 13.9 Years ;;;
; B-6353 ;Airbus A321-231; C12Y167 ; 13 Jun 2008 ;lsd ; 13.7 Years ;;;
; B-6355 ;Airbus A321-231; C4Y185 ; 24 Jun 2008 ;; 13.7 Years ;;;
; B-6356 ;Airbus A321-231; C12Y167 ; 17 Jul 2008 ;lsd ; 13.7 Years ;;;
; B-6378 ;Airbus A321-231; C12Y167 ; 23 Sep 2008 ;lsd ; 13.5 Years ;;;
; B-6379 ;Airbus A321-231; C12Y167 ; 24 Oct 2008 ;lsd ; 13.4 Years ;;;
; B-6389 ;Airbus A321-231; C4Y191 ; 20 Jan 2009 ;; 13.1 Years ;;;
; B-6397 ;Airbus A321-231; C4Y191 ; 6 Feb 2009 ;; 13.1 Years ;;;
; B-6398 ;Airbus A321-231; C4Y185 ; 25 Mar 2009 ;; 13 Years ;;;
; B-6552 ;Airbus A321-231; C4Y185 ; 9 Apr 2009 ;; 12.9 Years ;;;
; B-6553 ;Airbus A321-231; C4Y185 ; 29 May 2009 ;; 12.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-6578 ;Airbus A321-231; C4Y185 ; 12 Jun 2009 ;; 12.7 Years ;;;
; B-6579 ;Airbus A321-231; C4Y185 ; 12 Jun 2009 ;; 12.7 Years ;;;
; B-6580 ;Airbus A321-231; C4Y185 ; 25 Jun 2009 ;; 12.7 Years ;;;
; B-6581 ;Airbus A321-231; C4Y185 ; 23 Jul 2009 ;; 12.6 Years ;;;
; B-6622 ;Airbus A321-211; C4Y185 ; 26 Feb 2010 ;; 12 Years ;;;
