;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-6987 ;Boeing 737-85N(WL); C8Y168 ; 29 Oct 2015 ;; 6.4 Years ;;;
; B-6988 ;Boeing 737-85N(WL); C8Y168 ; 22 Oct 2015 ;lsd, Gui Zhou Xi Jiu cs ; 6.4 Years ;;;
; B-7085 ;Boeing 737-85N(WL); C8Y168 ; 23 Nov 2015 ;lsd ; 6.3 Years ;;;
; B-7086 ;Boeing 737-85N(WL); C8Y168 ; 24 Nov 2015 ;lsd ; 6.3 Years ;;;
; B-7087 ;Boeing 737-85N(WL); C8Y168 ; 7 Dec 2015 ;lsd ; 6.3 Years ;;;
; B-7565 ;Boeing 737-85N(WL); C8Y168 ; 28 Apr 2016 ;lsd ; 5.9 Years ;;;
; B-7566 ;Boeing 737-85N(WL); C8Y168 ; 18 Apr 2016 ;lsd ; 5.9 Years ;;;
; B-7567 ;Boeing 737-85N(WL); C8Y168 ; 22 Jun 2016 ;; 5.7 Years ;;;
; B-7568 ;Boeing 737-85N(WL); C8Y168 ; 24 May 2016 ;lsd ; 5.8 Years ;;;
; B-7569 ;Boeing 737-85N(WL); C8Y168 ; 16 Jun 2016 ;lsd, Pien Tze Huang cs ; 5.7 Years ;;;
; B-7668 ;Boeing 737-85N(WL); C8Y168 ; 20 Jan 2017 ;lsd ; 5.1 Years ;;;
; B-7669 ;Boeing 737-85N(WL); C8Y168 ; 22 Feb 2017 ;lsd, "100th 737 Next-Generation" sticker ; 5 Years ;;;
; B-7805 ;Boeing 737-85N(WL); C8Y168 ; 23 Mar 2017 ;lsd ; 5 Years ;;;
; B-7806 ;Boeing 737-85N(WL); C8Y168 ; 28 Mar 2017 ;lsd ; 5 Years ;;;
; B-7808 ;Boeing 737-85N(WL); C8Y168 ; 7 Apr 2017 ;lsd ; 4.9 Years ;;;
; B-7809 ;Boeing 737-85N(WL); C8Y168 ; 26 Apr 2017 ;lsd ; 4.9 Years ;;;
; B-7885 ;Boeing 737-85N(WL); C8Y168 ; 27 Feb 2017 ;lsd ; 5 Years ;;;
; B-7975 ;Boeing 737-85N(WL); C8Y168 ; 22 Jul 2016 ;lsd ; 5.6 Years ;;;
; B-7976 ;Boeing 737-85N(WL); C8Y168 ; 28 Jul 2016 ;lsd ; 5.6 Years ;;;
; B-7977 ;Boeing 737-85N(WL); C8Y168 ; 9 Aug 2016 ;lsd, Hospitable Shandong-Jingzhi wine cs ; 5.6 Years ;;;
; B-7978 ;Boeing 737-85N(WL); C8Y168 ; 19 Aug 2016 ;lsd, "Hospitality Shandong-Jingzhi" titles ; 5.6 Years ;;;
; B-7979 ;Boeing 737-85N(WL); C8Y168 ; 9 Sep 2016 ;lsd ; 5.5 Years ;;;
