;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; PH-BVB ;Boeing 777-306ER; C34W40Y334 ; 28 Mar 2008 ;; VB-026 ; Nationaal Park Fulufjället / Fulufjället National Park ; 14 Years ;;;
; PH-BVC ;Boeing 777-306ER; C34W40Y334 ; 28 May 2009 ;"KLM Asia" titles ; VC-027 ; Nationaal Park Sian Ka'an / Sian Ka'an National Park ; 12.8 Years ;;;
; PH-BVD ;Boeing 777-306ER; C34W40Y334 ; 24 Aug 2009 ;SkyTeam cs ; VD-028 ; Nationaal Park Amboseli / Amboseli National Park ; 12.6 Years ;;;
; PH-BVF ;Boeing 777-306ER; C34W40Y334 ; 7 Feb 2011 ;; VF-029 ; Yakushima ; 11.1 Years ;;;
; PH-BVG ;Boeing 777-306ER; C34W40Y334 ; 15 Jun 2012 ;; VG-030 ; Nationaal Park Wolong / Wolong National Nature Reserve ; 9.8 Years ;;;
; PH-BVI ;Boeing 777-306ER; C34W40Y334 ; 19 Jul 2012 ;; VI-031 ; Nationaal Park Vuurland / Tierra del Fuego National Park ; 9.7 Years ;;;
; PH-BVK ;Boeing 777-306ER; C34W40Y334 ; 31 May 2013 ;; VK-032 ; Yellowstone National Park / Yellowstone Nationaal Park ; 8.8 Years ;;;
; PH-BVN ;Boeing 777-306ER; C34W40Y334 ; 27 Mar 2015 ;lsd ; VN-033 ; Tijuca National Park / Nationaal Park Tijuca ; 7 Years ;;;
; PH-BVO ;Boeing 777-306ER; C34W40Y334 ; 22 Apr 2015 ;; VO-034 ; Kaziranga National Park / Nationaal Park Kaziranga ; 6.9 Years ;;;
; PH-BVP ;Boeing 777-306ER; C34W40Y334 ; 24 Feb 2016 ;lsd ; VP-035 ; Nationaal Park Jasper / Jasper National Park ; 6.1 Years ;;;
; PH-BVR ;Boeing 777-306ER; C34W40Y334 ; 15 Jun 2016 ;lsd ; VR-036 ; Nationaal Park Gunung Mulu / Gunung Mulu National Park ; 5.8 Years ;;;
; PH-BVS ;Boeing 777-306ER; C34W40Y334 ; 22 Feb 2017 ;lsd ; VS-037 ; Nationaal Park Darien / Darien National Park ; 5.1 Years ;;;
; PH-BVU ;Boeing 777-306ER; C34W40Y334 ; 27 Sep 2017 ;; VU-038 ; Grand Canyon National Park / Nationaal Park Grand Canyon ; 4.5 Years ;;;
; PH-BVV ;Boeing 777-300ER; C34W40Y334 ; 24 Mar 2021 ;; VV-039 ; Nationaal Park Cocos Eiland / Cocos Island National Park ; 1.2 Years ;;;
; PH-BVW ;Boeing 777-300ER; C34W40Y334 ; 26 Mar 2021 ;; VW-040 ; Canadian Rocky Mountain Parks / Canadese Rocky Mountain Parken ; 1.1 Years ;;;
; PH-BKA ;Boeing 787-10 Dreamliner; C38W27Y279 ; 28 Jun 2019 ;lsd, KLM 100 Years cs ; KA-050 ; Oranje Bloesem / Orange Blossom ; 2.7 Years ;;;
; PH-BKC ;Boeing 787-10 Dreamliner; C38W27Y279 ; 11 Oct 2019 ;; KC-051 ; Vlijtig Liesje / Busy Lizzie ; 2.4 Years ;;;
; PH-BKD ;Boeing 787-10 Dreamliner; C38W27Y279 ; 11 Nov 2019 ;; KD-052 ; Baardbloem / Heavenly Blue ; 2.3 Years ;;;
; PH-BKF ;Boeing 787-10 Dreamliner; C38W27Y279 ; 17 Dec 2019 ;; KF-053 ; Sneeuwklokje / Snowdrop ; 2.2 Years ;;;
; PH-BKG ;Boeing 787-10 Dreamliner; C38W27Y279 ; 10 Feb 2020 ;; KG-054 ; Hyacint / Bluebell ; 2.1 Years ;;;
; PH-BKH ;Boeing 787-10 Dreamliner; C38W27Y279 ; On Order ;; KH-055 ; Witte Lotus / White Lotus ; 1.8 Years ;;;
; PH-BKI ;Boeing 787-10 Dreamliner; C38W27Y279 ; On Order ;; KI-056 ; Viooltje / Violet ; 1.5 Years ;;;
; PH-BKK ;Boeing 787-10 Dreamliner; C38W27Y279 ; On Order ;; KK-057 ; Lily of the valley / Meiklokje ; 1.2 Years ;;;
; PH-BKM ;Boeing 787-10 Dreamliner; C38W27Y279 ; On Order ;lsd ;;;;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
