;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; A7-BEF ;Boeing 777-3DZER; C42Y316 ; 18 Nov 2015 ;;; 6.4 Years ;;;
; A7-BEG ;Boeing 777-3DZER; C42Y316 ; 29 Dec 2015 ;;; 6.3 Years ;;;
; A7-BEH ;Boeing 777-3DZER; C42Y316 ; 22 Mar 2016 ;;; 6.1 Years ;;;
; A7-BEI ;Boeing 777-3DZER; C42Y316 ; 24 Mar 2016 ;;; 6 Years ;;;
; A7-BEJ ;Boeing 777-3DZER; C42Y316 ; 10 Jun 2016 ;;; 5.8 Years ;;;
; A7-BEK ;Boeing 777-3DZER; C42Y312 ; 11 Sep 2017 ;;; 4.7 Years ;;;
; A7-BEL ;Boeing 777-3DZER; C42Y312 ; 30 Sep 2017 ;;; 4.6 Years ;;;
; A7-BEM ;Boeing 777-3DZER; C42Y312 ; 13 Dec 2017 ;;; 4.4 Years ;;;
; A7-BEN ;Boeing 777-3DZER; C42Y312 ; 1 Dec 2017 ;;; 4.4 Years ;;;
; A7-BEO ;Boeing 777-3DZER;; 23 Dec 2017 ;;; 4.4 Years ;;;
; A7-BEP ;Boeing 777-3DZER;; 4 Dec 2017 ;;; 4.3 Years ;;;
; A7-BEQ ;Boeing 777-3DZER;; 22 Mar 2018 ;;; 4.2 Years ;;;
; A7-BER ;Boeing 777-3DZER;; 17 May 2018 ;;; 4.1 Years ;;;
; A7-BES ;Boeing 777-3DZER;; 25 May 2018 ;;; 4 Years ;;;
; A7-BET ;Boeing 777-3DZER;; 7 Aug 2018 ;;; 3.7 Years ;;;
; A7-BEU ;Boeing 777-3DZER; C42Y312 ; 19 Jun 2018 ;;; 3.9 Years ;;;
; A7-BEV ;Boeing 777-3DZER;; 28 Jun 2018 ;;; 3.9 Years ;;;
; A7-BEW ;Boeing 777-3DZER;; 3 Sep 2018 ;;; 3.7 Years ;;;
; A7-BEX ;Boeing 777-3DZER; C42Y312 ; 20 Sep 2018 ;;; 3.6 Years ;;;
; A7-BOA ;Boeing 777-367ER;; 9 Dec 2021 ;lsd ;; 12.2 Years ;;;
; A7-BOB ;Boeing 777-367ER;; 25 Nov 2021 ;lsd ;; 12.4 Years ;;;
; A7-BOC ;Boeing 777-367ER;; 23 Feb 2022 ;lsd ;; 12.1 Years ;;;
; A7-BOD ;Boeing 777-367ER;; 29 Dec 2021 ;lsd ;; 12.2 Years ;;;
; A7-BKA ;Boeing 777-9;; On Order ;;;;;;
; A7-BFA ;Boeing 777-FDZ; Cargo ; 14 May 2010 ;;; 11.8 Years ;;;
; A7-BFB ;Boeing 777-FDZ; Cargo ; 9 Jun 2010 ;;; 11.8 Years ;;;
; A7-BFC ;Boeing 777-FDZ; Cargo ; 28 Oct 2011 ;;; 10.4 Years ;;;
; A7-BFD ;Boeing 777-FDZ; Cargo ; 31 Mar 2012 ;; روضة راشد ; 9.9 Years ;;;
; A7-BFE ;Boeing 777-FDZ; Cargo ; 21 Jun 2013 ;;; 8.8 Years ;;;
; A7-BFF ;Boeing 777-FDZ; Cargo ; 29 Apr 2014 ;; أم وشاح ; 7.9 Years ;;;
; A7-BFG ;Boeing 777-FDZ; Cargo ; 30 Sep 2014 ;;; 7.5 Years ;;;
; A7-BFH ;Boeing 777-FDZ; Cargo ; 19 Mar 2015 ;;; 7 Years ;;;
; A7-BFI ;Boeing 777-FDZ; Cargo ; 26 Apr 2016 ;;; 5.9 Years ;;;
