;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N88346 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 17 Aug 2016 ; Parked, opf United Express ; 346 ; 5.6 Years ;;;
; N88359 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 6 Dec 2017 ;lsf United Airlines, opf United Express ; 359 ; 4.4 Years ;;;
; N89304 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 16 Jun 2014 ;opf United Express ; 304 ; 7.8 Years ;;;
; N89308 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 11 Sep 2014 ;opf United Express ; 308 ; 7.5 Years ;;;
; N89313 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 7 Nov 2014 ;opf United Express ; 313 ; 7.4 Years ;;;
; N89315 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 20 Nov 2014 ;opf United Express ; 315 ; 7.3 Years ;;;
; N89317 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 4 Dec 2014 ;opf United Express ; 317 ; 7.3 Years ;;;
; N89321 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 5 Mar 2015 ;opf United Express ; 321 ; 7.1 Years ;;;
; N89342 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 22 Jun 2016 ;opf United Express ; 342 ; 5.7 Years ;;;
; N89349 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 May 2017 ;opf United Express ; 349 ; 4.8 Years ;;;
; N89357 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 25 Oct 2017 ;opf United Express ; 357 ; 4.4 Years ;;;
; N89362 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 1 Oct 2020 ;lsf United Airlines, opf United Express ; 362 ; 1.5 Years ;;;
; N93305 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 25 Jul 2014 ;opf United Express ; 305 ; 7.7 Years ;;;
