;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-30FS ;Airbus A321-271N; C8Y190 ; 27 Jul 2021 ;lsd ; 1 Years ;;;
; B-322T ;Airbus A321-271N; C8Y190 ; 10 Aug 2021 ;lsd ; 0.7 Years ;;;
; B-324K ;Airbus A321-271NX; C8Y193 ; On Order ;; 0.4 Years ;;;
; B-324L ;Airbus A321-271N;; On Order ;; 0.4 Years ;;;
; B-325F ;Airbus A321-271NX; C8Y193 ; 29 Dec 2021 ;; 0.5 Years ;;;
; B-325H ;Airbus A321-271NX; C8Y193 ; On Order ;; 0.4 Years ;;;
; B-8598 ;Airbus A321-271N; C8Y190 ; 26 Jul 2018 ;lsd ; 3.6 Years ;;;
; B-8599 ;Airbus A321-271N; C8Y190 ; 27 Aug 2018 ;lsd ; 3.5 Years ;;;
; B-8682 ;Airbus A321-271N; C8Y190 ; 22 May 2018 ;lsd ; 3.8 Years ;;;
; B-308L ;Airbus A330-243F; Cargo ; 11 Jul 2019 ;lsd ; 9.4 Years ;;;
; B-308P ;Airbus A330-243F; Cargo ; 21 Nov 2019 ;lsd ; 9.1 Years ;;;
; B-308Q ;Airbus A330-243F; Cargo ; 12 Sep 2019 ;lsd ; 8.9 Years ;;;
; B-6517 ;Airbus A330-243; C36Y209 ; 23 Jul 2010 ; Parked, lsd, "Wu Liang Ye" sticker ; 11.7 Years ;;;
; B-6518 ;Airbus A330-243; C36Y209 ; 4 Feb 2010 ;lsd ; 12.1 Years ;;;
; B-6535 ;Airbus A330-243; C24Y250 ; 29 Jul 2011 ;lsd ; 10.7 Years ;;;
; B-8332 ;Airbus A330-243; C24Y250 ; 11 Sep 2015 ;lsd ; 6.5 Years ;;;
; B-8468 ;Airbus A330-243; C24Y250 ; 9 Nov 2016 ;; 5.6 Years ;;;
; B-8962 ;Airbus A330-243; C24Y250 ; 19 Apr 2017 ;lsd ; 5 Years ;;;
; B-308F ;Airbus A330-343; C24Y281 ; 23 May 2019 ;lsd, "Shuangliu No.1" sticker ; 3 Years ;;;
; B-5923 ;Airbus A330-343; C36Y265 ; 28 Mar 2013 ;lsd, Wuliangye cs ; 9 Years ;;;
; B-5929 ;Airbus A330-343; C36Y265 ; 19 Jul 2013 ;lsd, Wuliangye cs ; 8.7 Years ;;;
; B-5945 ;Airbus A330-343; C36Y265 ; 23 May 2014 ;lsd, 31st Summer Universiade 2021 Chengdu cs ; 7.8 Years ;;;
; B-5960 ;Airbus A330-343; C36Y265 ; 25 Nov 2014 ;lsd, Changhong cs ; 7.4 Years ;;;
; B-8589 ;Airbus A330-343; C24Y281 ; 23 Apr 2018 ;lsd ; 4 Years ;;;
; B-8690 ;Airbus A330-343; C24Y281 ; 26 Oct 2017 ;lsd ; 4.4 Years ;;;
; B-301D ;Airbus A350-941; C28Y303 ; 8 Aug 2018 ;lsd, Panda cs ; 4.3 Years ;;;
; B-304U ;Airbus A350-941; C28Y303 ; 26 Oct 2018 ; Parked, lsd, Chengdu FISU World University Games cs ; 5.3 Years ;;;
; B-304V ;Airbus A350-941; C28Y303 ; 20 Nov 2018 ;lsd ; 5.2 Years ;;;
; B-306N ;Airbus A350-941; C28Y303 ; 21 May 2019 ;lsd, Panda Route cs ; 3 Years ;;;
; B-325J ;Airbus A350-941; C28Y303 ; On Order ;; 0.2 Years ;;;
